application_number,latitude,longitude
2645/18,53.3651446,-6.264045100000001
2313/18,53.32309859999999,-6.2688382
2635/18,53.31165619999999,-6.2745788
2327/18,53.3204208,-6.3127965
2648/18,53.369781,-6.263524899999999
2646/18,53.3430459,-6.266609
2322/18,53.334531,-6.2702996
2644/18,53.3580219,-6.2986265
2650/18,53.3507098,-6.2659389
2649/18,53.3411607,-6.2628223
2647/18,53.3944689,-6.3114008
2656/18,53.3347992,-6.2646359
2733/18,53.3925634,-6.264561899999999
2651/18,53.35155409999999,-6.242195
2655/18,53.3377808,-6.2512796
2663/18,53.3073797,-6.2689584
2658/18,53.3721506,-6.3219561
2654/18,53.39237139999999,-6.2808391
2652/18,53.355945,-6.293671199999999
2662/18,53.3644833,-6.239732399999999
2665/18,53.3727084,-6.3119534
DSDZ2657/18,53.34201669999999,-6.2274382
2653/18,53.3370488,-6.2434371
2660/18,53.35523569999999,-6.2737294
2670/18,53.35734540000001,-6.2788661
2664/18,53.3713999,-6.205957199999999
2674/18,53.30808460000001,-6.2596766
WEB1170/18,53.364287,-6.1787323
WEB1172/18,53.3910786,-6.2476359
WEB1171/18,53.3393336,-6.309164399999999
WEB1174/18,53.3632664,-6.2837527
2642/18,53.3743028,-6.2023408
2641/18,53.330648,-6.326680800000001
2672/18,53.30808460000001,-6.2596766
2659/18,53.3879561,-6.164664399999999
2669/18,53.3249542,-6.2069792
2673/18,53.329985,-6.2708166
2667/18,53.3623853,-6.2724509
2671/18,53.3751213,-6.340274099999999
WEB1177/18,53.3851115,-6.1491745
WEB1176/18,53.36539519999999,-6.2844983
2676/18,53.3398008,-6.2769678
2679/18,53.3751449,-6.297037899999999
2681/18,53.3220718,-6.237839
2675/18,53.3626087,-6.2763549
2685/18,53.3373973,-6.2762714
2682/18,53.2990782,-6.3005931
2686/18,53.3651445,-6.2638129
2745/18,53.331885,-6.2725284
2680/18,53.3496635,-6.2791539
WEB1175/18,53.376803,-6.1864256
2643/18,53.335411,-6.2482745
2668/18,53.4044749,-6.1828008
WEB1178/18,53.32945609999999,-6.291782599999999
WEB1180/18,53.3767947,-6.1726963
WEB1179/18,53.3682552,-6.265619699999999
2677/18,53.3663618,-6.2172062
2687/18,53.3319602,-6.2679914
2688/18,53.38908499999999,-6.297852799999999
2684/18,53.3961555,-6.3123491
2678/18,53.3723424,-6.3111149
2683/18,53.3870477,-6.171512799999999
2690/18,53.3143763,-6.2742533
2695/18,53.37029980000001,-6.2396715
WEB1157/18,53.3643548,-6.317393399999999
2691/18,53.3665852,-6.292438499999999
2661/18,53.331022,-6.2592015
2692/18,53.3689911,-6.2544613
2696/18,53.3725172,-6.20338
2702/18,53.30940039999999,-6.257221299999999
2701/18,53.3733645,-6.2662075
2700/18,53.363416,-6.3065178
2706/18,53.3223232,-6.2864714
2705/18,53.3375515,-6.2362589
2704/18,53.3488142,-6.2681399
2707/18,53.3383931,-6.221578699999999
DSDZ2708/18,53.3459891,-6.238304
2697/18,53.3188203,-6.2913325
2703/18,53.3236885,-6.3063991
2710/18,53.3603347,-6.2758181
2694/18,53.33302639999999,-6.2231644
2699/18,53.3217079,-6.259844999999999
2709/18,53.35296820000001,-6.2300723
2714/18,53.3888176,-6.222529700000001
2712/18,53.31729190000001,-6.283264099999999
2716/18,53.3678001,-6.318124
2666/18,53.3843613,-6.1548813
WEB1181/18,53.38747430000001,-6.284992099999999
WEB1182/18,53.3702905,-6.1952669
WEB1183/18,53.3844183,-6.2678768
2693/18,53.3189044,-6.3252926
WEB1184/18,53.361028,-6.196062899999999
2689/18,53.33698440000001,-6.2725234
2711/18,53.3410782,-6.2667075
2713/18,53.3620967,-6.2847592
2725/18,53.4048139,-6.180568999999999
2719/18,53.37915049999999,-6.2338898
2721/18,53.3797863,-6.2130006
2723/18,53.3309436,-6.3478268
2718/18,53.40015289999999,-6.2128218
2730/18,53.3167552,-6.222805900000001
2724/18,53.3581771,-6.2573542
2726/18,53.3902192,-6.2452372
2715/18,53.3721641,-6.241026199999999
2720/18,53.3553328,-6.2925698
2717/18,53.3431283,-6.2178686
2722/18,53.3367764,-6.2434597
2741/18,53.3493537,-6.248218
2735/18,53.3143671,-6.2026432
2732/18,53.3873476,-6.2145943
2804/18,53.3431829,-6.337546499999999
