GUID,GEOGID,GEOGDESC,Reference Geography,ED_GUID,ED_ID_STR,ED_ENGLISH,ED_GAEILGE,ED_OFFICIAL,LEA_GUID,CSO_LEA,LEA_ID,LEA_OFFICIAL,LA_GUID,LOCAL_AUTHORITY,LA_CODE,COUNTY,CONTAE,PROVINCE,NUTS3,NUTS3_NAME,NUTS2,NUTS2_NAME,NUTS1,NUTS1_NAME,Total - Females (Normalisation) ,Total - Males (Normalisation),Total Population (Normalisation),Occupied (Normalisation),Temporarily absent (Normalisation),Unoccupied holiday homes (Normalisation),Other vacant dwellings (Normalisation),Total dwellings (Normalisation),AREA,Area unit of measure,Shape__Area,Shape__Length,GUID,Professional workers - Males,Managerial and technical - Males,Non-manual - Males,Skilled manual - Males,Semi-skilled - Males,Unskilled - Males,All others gainfully occupied and unknown - Males,Total - Males,Professional workers - Females,Managerial and technical - Females,Non-manual - Females,Skilled manual - Females,Semi-skilled - Females,Unskilled - Females,All others gainfully occupied and unknown - Females,Total - Females,Professional workers - Total,Managerial and technical - Total,Non-manual - Total,Skilled manual - Total,Semi-skilled - Total,Unskilled - Total,All others gainfully occupied and unknown - Total,Total,ObjectId
2ae19629-16a3-13a3-e055-000000000001,2ae19629-16a3-13a3-e055-000000000001,BALLYBROPHY,CSO ED-2022,2ae19629-16a3-13a3-e055-000000000001,107010,BALLYBROPHY,BAILE UÍ BHRÓITHE,N,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,104,119,223,72,0,1,6,79,9984000,Sq Metres,9983739.84869385,21753.7172880979,2ae19629-16a3-13a3-e055-000000000001,14,30,13,33,10,6,13,119,9,31,25,13,7,2,17,104,23,61,38,46,17,8,30,223,1
2ae19629-16a4-13a3-e055-000000000001,2ae19629-16a4-13a3-e055-000000000001,BALLYCARROLL,CSO ED-2022,2ae19629-16a4-13a3-e055-000000000001,107011,BALLYCARROLL,BAILE UÍ CHEARÚILL,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,194,204,398,127,3,1,9,140,10246000,Sq Metres,10245833.9381714,18234.1610563417,2ae19629-16a4-13a3-e055-000000000001,17,68,37,41,21,7,13,204,16,86,43,13,20,3,13,194,33,154,80,54,41,10,26,398,2
2ae19629-16a6-13a3-e055-000000000001,2ae19629-16a6-13a3-e055-000000000001,BALLYLEHANE,CSO ED-2022,2ae19629-16a6-13a3-e055-000000000001,107013,BALLYLEHANE,BAILE UÍ LIATHÁIN,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,99,104,203,73,0,0,6,79,6674000,Sq Metres,6674325.04290771,19128.5370227212,2ae19629-16a6-13a3-e055-000000000001,17,28,17,19,3,3,17,104,10,43,14,6,11,3,12,99,27,71,31,25,14,6,29,203,3
2ae19629-16ad-13a3-e055-000000000001,2ae19629-16ad-13a3-e055-000000000001,BALLICKMOYLER,CSO ED-2022,2ae19629-16ad-13a3-e055-000000000001,107006,BALLICKMOYLER,BAILE MHIC MHAOILIR,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,422,426,848,297,1,3,9,310,13889000,Sq Metres,13888634.3193665,20595.7649808084,2ae19629-16ad-13a3-e055-000000000001,43,129,51,86,35,18,64,426,37,148,84,44,40,9,60,422,80,277,135,130,75,27,124,848,4
2ae19629-16b0-13a3-e055-000000000001,2ae19629-16b0-13a3-e055-000000000001,BARROWHOUSE,CSO ED-2022,2ae19629-16b0-13a3-e055-000000000001,107016,BARROWHOUSE,TEACH NA BEARÚ,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,256,262,518,171,3,0,6,180,13004000,Sq Metres,13004343.8773804,19129.0252939402,2ae19629-16b0-13a3-e055-000000000001,19,77,53,47,34,18,14,262,7,95,77,25,32,7,13,256,26,172,130,72,66,25,27,518,5
2ae19629-16b4-13a3-e055-000000000001,2ae19629-16b4-13a3-e055-000000000001,CULLENAGH,CSO ED-2022,2ae19629-16b4-13a3-e055-000000000001,107037,CULLENAGH,CUILEANNACH,Y,2ae19629-3f00-13a3-e055-000000000001,PORTLAOISE,13100401,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,75,76,151,50,0,0,4,54,12435000,Sq Metres,12434932.1282043,17955.9045472895,2ae19629-16b4-13a3-e055-000000000001,14,19,7,20,6,0,10,76,11,34,7,5,6,2,10,75,25,53,14,25,12,2,20,151,6
2ae19629-16b5-13a3-e055-000000000001,2ae19629-16b5-13a3-e055-000000000001,CURRACLONE,CSO ED-2022,2ae19629-16b5-13a3-e055-000000000001,107038,CURRACLONE,CORRCHLUAIN,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,127,142,269,85,0,1,8,94,12765000,Sq Metres,12765010.8123169,20187.1953001825,2ae19629-16b5-13a3-e055-000000000001,18,42,36,27,6,5,8,142,17,44,33,10,7,3,13,127,35,86,69,37,13,8,21,269,7
2ae19629-16b6-13a3-e055-000000000001,2ae19629-16b6-13a3-e055-000000000001,DANGANS,CSO ED-2022,2ae19629-16b6-13a3-e055-000000000001,107039,DANGANS,NA DAINGIN,N,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,783,741,1524,462,1,1,18,482,11999000,Sq Metres,11999331.1163635,21781.0378003722,2ae19629-16b6-13a3-e055-000000000001,26,158,113,165,102,22,155,741,19,197,171,85,114,22,175,783,45,355,284,250,216,44,330,1524,8
2ae19629-16b9-13a3-e055-000000000001,2ae19629-16b9-13a3-e055-000000000001,DOONANE,CSO ED-2022,2ae19629-16b9-13a3-e055-000000000001,107042,DOONANE,AN DÚNÁN,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,403,441,844,295,5,2,17,319,14041000,Sq Metres,14040833.8274536,21307.8275551209,2ae19629-16b9-13a3-e055-000000000001,22,101,73,104,54,38,49,441,16,123,86,60,50,25,43,403,38,224,159,164,104,63,92,844,9
2ae19629-16bc-13a3-e055-000000000001,2ae19629-16bc-13a3-e055-000000000001,CAHER,CSO ED-2022,2ae19629-16bc-13a3-e055-000000000001,107021,CAHER,AN CHATHAIR,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,52,56,108,35,1,1,0,37,8338000,Sq Metres,8338423.97537231,14346.6172498686,2ae19629-16bc-13a3-e055-000000000001,1,23,3,19,6,3,1,56,2,23,9,11,4,3,0,52,3,46,12,30,10,6,1,108,10
