application_number,latitude,longitude
4794/19,53.3748252,-6.1965834
2563/20,53.3093166,-6.300815399999999
WEB1087/20,53.3995329,-6.233213399999999
4804/19,53.331022,-6.2592015
WEB1195/20,53.3600244,-6.2410282
2290/20,53.3452987,-6.3413293
WEB1093/20,53.40150149999999,-6.1547247
4815/19,53.3556576,-6.265295399999999
WEB1201/20,53.3182886,-6.2885126
2605/20,53.3643548,-6.317393399999999
2351/20,53.3404753,-6.2779884
2607/20,53.3283533,-6.2622019
4843/19,53.39988409999999,-6.2058123
2299/20,53.3963811,-6.1932471
2309/20,53.36081919999999,-6.2463644
4821/19,53.36431940000001,-6.2701894
2304/20,53.3441419,-6.2677486
WEB1204/20,53.3682394,-6.289102799999999
2311/20,53.34097879999999,-6.266555899999999
2013/20,53.3346666,-6.288554899999999
2620/20,53.38839,-6.204957599999999
2321/20,53.3181293,-6.2396325
2636/20,53.38176,-6.3194137
WEB1218/20,53.3182886,-6.2885126
WEB1108/20,53.3875075,-6.236910099999999
WEB1208/20,53.3641032,-6.2431518
2022/20,53.356428,-6.2703112
WEB1021/20,53.3601659,-6.184953699999999
2024/20,53.32400630000001,-6.299218199999999
2342/20,53.33302639999999,-6.2231644
2653/20,53.3368546,-6.2637244
2347/20,53.39813350000001,-6.201547799999999
WEB1214/20,53.30884289999999,-6.2573456
2341/20,53.3134267,-6.278211199999999
WEB1115/20,53.3875075,-6.236910099999999
2644/20,53.3749313,-6.292072699999999
2053/20,53.32321469999999,-6.21611
WEB1232/20,53.3641032,-6.2431518
2055/20,53.3916912,-6.2742966
2661/20,53.3820953,-6.276705199999999
WEB1235/20,53.3753705,-6.251163399999999
2374/20,53.3652191,-6.2101941
WEB1237/20,53.310472,-6.291383000000001
WEB1032/20,53.3089249,-6.2645804
2664/20,53.3413966,-6.2909834
2375/20,53.3805875,-6.2050243
WEB1131/20,53.3805354,-6.2025711
2074/20,53.3607671,-6.192650599999999
2399/20,53.32201,-6.2226232
WEB1034/20,53.3215752,-6.273
WEB1040/20,53.362663,-6.307229299999999
WEB1134/20,53.3204161,-6.2711552
2084/20,53.3207977,-6.3280853
WEB1132/20,53.3667047,-6.3219338
GSDZ2088/20,53.3577471,-6.287361499999999
2698/20,53.3853859,-6.2651986
2104/20,53.32959229999999,-6.2509586
2102/20,53.3283403,-6.3050074
2404/20,53.3514935,-6.2590042
2414/20,53.3349708,-6.2731746
2411/20,53.3716574,-6.2997024
2129/20,53.3482095,-6.2667451
DSDZ2137/20,53.3486365,-6.2276586
2420/20,53.3808747,-6.170868899999999
2701/20,53.3284417,-6.2791367
WEB1142/20,53.3305948,-6.2687173
2458/20,53.34254790000001,-6.311416899999999
2447/20,53.31419160000001,-6.2582337
2430/20,53.3849113,-6.2138399
2117/20,53.3681029,-6.1788142
WEB1281/20,53.32677890000001,-6.216335099999999
WEB1146/20,53.3270017,-6.288853700000001
WEB1151/20,53.3753705,-6.251163399999999
WEB1287/20,53.383982,-6.2923146
DSDZ2482/20,53.3460674,-6.240610299999999
2132/20,53.33132690000001,-6.2748161
2721/20,53.3372483,-6.3244177
WEB1054/20,53.3240862,-6.2087919
2736/20,53.31661159999999,-6.2581463
2144/20,53.3504419,-6.2841561
DSDZ3781/20,53.3420994,-6.230847499999999
WEB1873/20,53.33108739999999,-6.268513599999999
3810/20,53.3889752,-6.2369368
3820/20,53.32432559999999,-6.324284
WEB1884/20,53.3810049,-6.1670815
3790/20,53.3573338,-6.256561899999999
WEB1890/20,53.3638384,-6.263554699999999
3815/20,53.3366732,-6.3180128
3832/20,53.32194579999999,-6.2786635
WEB1903/20,53.3277024,-6.287914
WEB1912/20,53.3810049,-6.1670815
DSDZ3812/20,53.3507152,-6.2424281
3873/20,53.3421695,-6.261987200000001
WEB1926/20,53.36777,-6.2100527
WEB1928/20,53.3620742,-6.1801792
WEB1930/20,53.370092,-6.3115888
3881/20,53.3153076,-6.292829
3888/20,53.3660025,-6.1797498
WEB1948/20,53.3782681,-6.2304562
3924/20,53.37087409999999,-6.2356989
3906/20,53.3357343,-6.326237099999999
WEB1959/20,53.3094466,-6.2559238
3919/20,53.3484907,-6.2582021
WEB1964/20,53.343494,-6.3661705
3946/20,53.3997177,-6.210229
WEB1968/20,53.32879440000001,-6.3029531
WEB1982/20,53.3694456,-6.235888699999999
3936/20,53.3682532,-6.1928556
DSDZ3957/20,53.3439662,-6.2346883
3971/20,53.3193128,-6.2554262
WEB1993/20,53.324255,-6.3011479
3975/20,53.3390982,-6.2755265
3981/20,53.37894259999999,-6.2791562
WEB1003/21,53.3317715,-6.285512
3982/20,53.344891,-6.2638908
WEB1011/21,53.3765794,-6.259626099999999
4010/20,53.3256763,-6.213091899999999
4015/20,53.3314098,-6.236562999999999
4039/20,53.3330881,-6.239875700000001
4040/20,53.3440407,-6.2840735
2739/20,53.3525591,-6.248750299999999
WEB1441/20,53.378065,-6.202291900000001
2999/20,53.3447772,-6.2518259
3543/20,53.33253509999999,-6.2222971
3000/20,53.3400529,-6.2855372
WEB1701/20,53.3311588,-6.214109199999999
WEB1305/20,53.3237537,-6.266764100000001
WEB1704/20,53.3633227,-6.306972699999999
3255/20,53.366841,-6.2882982
2750/20,53.3666322,-6.213267
3572/20,53.3337277,-6.2613347
3261/20,53.3294502,-6.2985111
WEB1309/20,53.33294129999999,-6.220011200000001
3024/20,53.32512879999999,-6.2518129
WEB1314/20,53.3414988,-6.3444236
WEB1318/20,53.3835565,-6.2412136
3250/20,53.3692169,-6.327419
3274/20,53.3482148,-6.2695818
WEB1325/20,53.3916542,-6.2740582
WEB1464/20,53.3419185,-6.3178781
3282/20,53.3183432,-6.2737164
WEB1718/20,53.37059619999999,-6.2965516
WEB1462/20,53.3748993,-6.3206585
3595/20,53.3051211,-6.270698899999999
3060/20,53.3404753,-6.2779884
WEB1721/20,53.390609,-6.2904642
2776/20,53.380544,-6.2536041
WEB1729/20,53.3729001,-6.2518886
WEB1603/20,53.3829718,-6.2021304
WEB1469/20,53.3781668,-6.1958176
3293/20,53.3338706,-6.2537164
DSDZ3273/20,53.34977809999999,-6.2325154
3610/20,53.3656077,-6.222795
3054/20,53.3208734,-6.2288545
2791/20,53.3335665,-6.212524
3305/20,53.3657133,-6.2019714
WEB1340/20,53.3819469,-6.2232805
WEB1342/20,53.3672954,-6.2855146
DSDZ3614/20,53.3487397,-6.2352801
3603/20,53.3538632,-6.291319
3069/20,53.378279,-6.2861457
WEB1744/20,53.3239445,-6.252936999999999
2822/20,53.3125288,-6.2751855
2804/20,53.3753878,-6.1808916
3299/20,53.336763,-6.2805819
2802/20,53.3227941,-6.3288462
3079/20,53.36085079999999,-6.2392762
WEB1492/20,53.3165995,-6.291449
2819/20,53.3463035,-6.258814699999999
3634/20,53.3403852,-6.2766477
3643/20,53.3082498,-6.2790718
3330/20,53.3837164,-6.211386699999999
WEB1754/20,53.3367333,-6.2750908
2814/20,53.328939,-6.2272839
2837/20,53.34478069999999,-6.296636899999999
WEB1758/20,53.3841248,-6.2826369
3090/20,53.38199480000001,-6.2096054
2835/20,53.37837810000001,-6.2847678
WEB1764/20,53.393618,-6.2440263
3636/20,53.3337277,-6.2613347
3103/20,53.332277,-6.2830083
WEB1765/20,53.362379,-6.2838192
3662/20,53.3412558,-6.2428441
3672/20,53.3432991,-6.2808889
3625/20,53.3396047,-6.189820999999999
3666/20,53.3934268,-6.2166571
WEB1519/20,53.3223619,-6.215548
3111/20,53.3748993,-6.3206585
WEB1771/20,53.3236885,-6.3063991
WEB1370/20,53.33479209999999,-6.330387699999999
WEB1524/20,53.3896684,-6.2792184
WEB1529/20,53.3596363,-6.2440247
WEB1620/20,53.3285583,-6.2374636
3126/20,53.3228532,-6.244541099999999
3669/20,53.3600211,-6.1968974
3121/20,53.3120544,-6.2754563
WEB1777/20,53.3170565,-6.3086667
WEB1779/20,53.3765964,-6.2573526
3685/20,53.3860553,-6.247087899999999
WEB1385/20,53.3773895,-6.210652199999999
3684/20,53.3688614,-6.242351999999999
